,album,Release_Year,lyrics_title,lyrics_url,lyrics,track_views,is_demo,featuring,number_of_verses,number_of_chorus,# Of Words,Average Sentence Length,Positive Sentiment,Neutral Sentiment,Negative Sentiment,lexical diversity
0,certified lover boy,2021.0,certified lover boy ,https://genius.com/drake-certified-lover-boy-lyrics, put my feelings on ice always been a gem certified lover boy somehow still heartless heart is only gettin colder,8700.0,0,0,1,0,21,113.0,0.158,0.708,0.133,0.19469026548672566
1,certified lover boy,2021.0,like im supposed todo things ,https://genius.com/drake-like-im-supposed-to-do-things-lyrics, hands are tied someones in my ear from the other side tellin me that i should pay you no mind wanted you to not be with me all night wanted you to not stay with me all night i know you know who that person is to me doesnt really change things   i know youre scared of dating falling for me shorty surely you know me right here for you always you know i dont ever change right here for you always you know i dont ever change right here for you   in mind you make me want to do things love you like im supposed to you make me want to love you like im supposed to you make me want to love you like im supposed to remind you ayy   i know youre scared of dating falling for me shorty by now you know me right here for you always you know i dont ever change right here for you always you know i dont ever change right here for you,38800.0,0,0,1,2,180,825.0,0.143,0.79,0.067,0.027878787878787878
2,certified lover boy,2021.0,not around ,https://genius.com/drake-not-around-lyrics, yeah we back wassup ladies swishahouse baby wassup to all the ladies on the northside southside eastside westside wassup in bay city wassup to all the ladies in louisiana wassup to all the ladies in dallas austin san antonio marshall prairie view its going down wharton county texas city htown baby tsu ladies   she moved out of state and shit done went left shes seekin forgiveness she used to dance but she want a loan and start up a business her daddy is not around her momma is not around i watch her climb to the top of the pole and then get to slidin down i make it rain in this bitch i make it snow in this bitch she tryna get out of the mix shawty is goin legit shawty is goin legit me im supportin this shit this is a story came from my life and im just recordin this shit   ima just give it to you direct instead of me throwin this shit you know you important and shit you know im supportin this shit we used to do pornos when you would come over but now you got morals and shit i got like four on the wrist and an adorable kid i got the drac in the studio and i dont just mean that im in this bitch please make the most of this shit dont just come close to some shit i give you this bread you run me some head and then you go glow up a bit   she moved out of state and shit done went left shes seekin forgiveness she used to dance but she want a loan and start up a business her daddy is not around her momma is not around i watch her climb to the top of the pole and then get to sli i make it rain in this bitch i make it snow in this bitch she tryna get out of the mix shawty is goin legit shawty is goin legit me im supportin this shit this is a story came from my life and im just recordin this shit   her daddy is not around momma is definitely not around she got a business plan but she just aint had time to write it down stay with her sister now she got a man but he out of town soon as he out of town they hop in his whip and they ride around i watch her climb to the top of the pole and then get to slidin slidin thought about trappin a player before but that just aint right right look in the mirror if you wanna look at some things on the bright side you popped a 325 you feelin too good to worry tonight   she moved out of state and shit done went left shes seekin forgiveness she used to dance but she want a loan and start up a business her daddy is not around her momma is not around i watch her climb to the top of the pole and then get to sli i make it rain in this bitch i make it snow in this bitch she tryna get out of the mix shawty is goin legit shawty is goin legit me im supportin this shit this is a story came for my life and im just recordin this shit,129800.00000000001,0,0,2,3,566,2691.0,0.069,0.751,0.18,0.011148272017837236
3,certified lover boy,2021.0,in the cut ,https://genius.com/drake-in-the-cut-lyrics, ayy yeah pipe this shit up and i turn this shit up when i was down i was down now them diamonds for fun like damn ayy yeah   trendsetter ben frank getter yeah whip whatever whip whatever i buy diamonds when im under pressure yeah when i apply it shit dont ever let up yeah look im in the cut the boy in the cut jump in the whip where the ceilings go up we up all of this grindin for what its funny when you niggas thought it was luck i cannot give you a pass if you play with my money and family and friends and i compete with myself while you niggas competin with trends your foreign is used i looked up the vin i know the truth no use in pretendin with him   still in the cut the boy in the cut hop in the whip where the ceilings go up we up   and im way up at the top of the loft gotta stay up aint no knockin me off pull up smooth ai with the cross haha countin up wins on wins on wins for all of my dawgs i lost i might call pharrell get the new chanel thugger got the ysl huh i remember when the feds did the sweep i pray my dawgs didnt tell huh cruisin down biscayne i was in miami she gave me top with the top off cartier wrist gang got her a audemar she got the head knock your socks off you aint gettin money you aint fuckin with me you aint in your bitch top five i might pull up in the six with drizzy i was just in houston fuckin with the mob ties we dont never ever play two sides hang out the phantom its suicide they ridin my wave like a rogue tide my necklace is wet like the poolside   still in the cut the boy in the cut yeah hop in the whip where the ceilings go up we up,72100.0,0,1,2,2,339,1592.0,0.172,0.714,0.114,0.017587939698492462
4,certified lover boy,2021.0,zodiac sign ,https://genius.com/drake-zodiac-sign-lyrics, you ask how many girls i been with in my life i tell ya i stopped keeping count when i was 25 i ask you the same thing you tell me seven guys but we both know thats a lie cause if we countin head and if we countin drunken nights then that number that you gave just might be off by eight or nine but its still nowhere close to mine marcus prolly had to bring me straps like thirty times he took over like four years ago when courtne had resigned i been talkin sex with courtne since like 2005 we been friends since junior high tough to enjoy the company and never cross the line shes like is it more than a hundred with everyone combined and i say yeah thats bein kind at one point or another they all felt like they were mine i had a lot of backs that i would never talk behind im not really into threesomes i like one thing at a time i like when its you and i plus i always feel like if somebody outperforms you that could jeopardize your pride and im not into choosin sides unless you bout to sleep and you askin me whats my side its the right at home but this a hotel so you can decide lessons that i learned before hittin my prime confessions that i blame on the zodiac sign things you need to hear fore we say our goodbyes free myself of it all watch a scorpio rise yeah   you say you wanna know but you dont though why you wanna know who i cropped out of photos and lately papi you been acting tonto what you think before you i was only movin dolo but im honest til i die so i wont lie and i prolly got some numbers that you wont like and youre prolly gonna hate it but i much rather be hated for the truth than for the wrong guy if he aint done you cant be this good without some badness what you think i fuck this good without some practice and if its lov and youre my mvp then why we talkin about practice like you want me to lie why would i jeopardize my worth just to value your pride confessions that i blame on the zodiac sign cause then i switch up and i blame it on my gemini might be jealousy cause you just want me tradin lives jealousy cause i can get the girls and get the guys and if im honest this whole convos just a waste of time cause legacy should be my focus not here playin wife,54800.0,0,1,2,0,446,2206.0,0.179,0.723,0.098,0.014052583862194016
5,certified lover boy,2021.0,laugh now cry later ,https://genius.com/drake-laugh-now-cry-later-lyrics, woah woah yeah   sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that   tired of beefin you bums you cant even pay me enough to react been wakin up in the crib and sometimes i dont even know where im at please dont play that nigga songs in this party i cant even listen to that anytime that i ran into somebody it must be a victory lap ayy shawty come sit on my lap ayy they sayin drizzy just snap distance between us is not like a store this isnt a closeable gap ayy ive seen some niggas attack and dont end up makin it back   i know that they at the crib goin crazy down bad what they had didnt last damn baby   sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that   im in the trenches relax can you not play that lil boy in the club cause we do not listen to rats we in atlanta i buy her a wig she tellin me tae is the best point at the nigga who act like a killer but you only one from the net im like dababy im not just a rapper you play with me you gon get stretched oohoh bring drake to the hood surround drake around dracs even though i got a case ima do what it take and i never been embraced and the moneys hard to make so i bet they on they face right now   i know that they at the crib goin crazy down bad what they had didnt last damn baby   sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that   when he tell the story thats not how it went know they be lyin a hundred percent moved out the ritz and forgot bout the bent valet just called me to tell me come get it knocked that boy off and i dont want no credit if it was me they wouldnt regret it left me for dead and now they wan dead it yeah heart is still beatin my niggas still eatin backyard it look like the garden of eden pillow talk with em she spillin the tea and then shawty came back and said she didnt mean it its hard to believe it   i know that they at the crib goin crazy down bad what they had didnt last damn baby   sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that,1000000.0,0,1,3,7,623,2815.0,0.113,0.711,0.176,0.009236234458259326
6,certified lover boy,2021.0,lie to me ,https://genius.com/drake-lie-to-me-lyrics, man get the fuck away from us we dont want nothin but money we some family men we gettin this paper know what im talkin bout and i had to put that out there bun because a lot of niggas doin lot of fugazi shit out here man   love me save me tell me try me all you do is lie to me takin me for granted i could tell all you do is lie to me lies dont excite me im lonely need more than a homie takin me for granted i could tell   all you do is lie to me and dub me you never love me any confidence i came with you take it from me i just wanna get beside you and make you love me i just can not take the silence you keep ignorin me see you makin all this time for more important things we was sposed to catch a vibe the other night busy now but you was down that other time why you always lead me on and give me signs i just wanna get beside and make you mine i just wanna come inside and reunite got me waitin outside hah   love me save me tell me try me all you do is lie to me takin me for granted i could tell all you do is lie to me lies dont excite me im lonely need more than a homie takin me for granted i could tell   uhm you was just so in your pocket uhm cats used to tell me when they used to come to my house in miami and shit that that that they felt a feelin of like they felt a lil fucked up in they stomach but they was inspired cause they knew they they they had somethin to see the dream for you know i done seen a lot of shit i aint never seen a a young nigga as consistent as you that has affected the world in such a positive way since you know michael jackson and then when youve finally got the crib all you do is lie to me you did it like not even none of us did it you feel me uhm nah i mean i did it like that i aint gon lie i aint gon lie to you i did it like that but i aint never been affected by another nigga crib in the way that did it to inspire me how cats told me that hed been inspired all you do is lie to me and felt that feelin in they gut like i gotta work harder need more than a homie well i mean workin harder just to compete bro for real for real its either you fuckin in the game or youre out the game nigga im back in this motherfucker lets get some money its over nigga you have arrived top five end of discussion may god bless you inshallah you know what im sayin this your brother diddy take that and thank you for the inspiration jheeze,34500.0,0,0,1,2,518,2383.0,0.174,0.726,0.1,0.01174989509022241
7,certified lover boy,2021.0,intoxicated ,https://genius.com/drake-intoxicated-lyrics, just hung up the phone and i could already tell that youre comin home intoxicated ooh so you better take your time with me cause i remember last time you wouldnt make love to me think you fell fast asleep i hope you niggas sleep wouldnt even talk to me now   say say im so crazy baby i wanted you to race my mind i got the keys please for me since youre comin home intoxicated oh for me please i wanted you to erase my mind  ,11300.0,0,0,2,1,88,426.0,0.114,0.791,0.095,0.06338028169014084
8,certified lover boy,2021.0,need me lotta 42 ,https://genius.com/drake-need-me-lotta-42-lyrics, previously on ready to die   never had a lot this is all i need people never care til its rip niggas turned they back on me for no good reason loyalty is priceless and its all i need cant burn a bridge just to light my way lotta 42 on the flights im takin pourin out my soul and it might sound crazy lotta fallin outs help me build foundation never had a lot this is all i need people never care til its rip niggas turned they back on me for no good reason never had a lot this is all i need   lost individuals is all i see grab the top spot like pardon my reach woke up one day and it was all on me if it comes down its gon fall on me lotta 42 on the flights im takin long way down from the heights im chasin just touched down i was lights out in vegas girls checkin in cause my lifestyle dangerous hard to tell people that im all out of favors call me for songs or they call me for paper turnin off my phone for the night now baby pourin out my soul and it might sound crazy some of my niggas dont love me we should sit down before shit turns ugly we should sit down since you said things about me   never had a lot this is all i need people never care til its rip niggas turned they back on me for no good reason loyalty is priceless and its all i need cant burn a bridge just to light my way lotta 42 on the flights im takin pourin out my soul and it might sound crazy lotta fallin outs help me build foundation never had a lot this is all i need people never care til its rip niggas turned they back on me for no good reason   you should slide through and get your back broke used to be involved with me with no emotion i was on the way to the next show you was on the phone and you were so open heard you said youre over me is that so you dont ever filter girl and thats okay coulda held on but you let it go sayin to yourself that its better this way funny thing is that youre going to need me and i know you should slide through and get your back broke funny thing is that youre going to need me and i know you should slide through and get your back broke feelings ive been stackin like a bankroll i should probably find a way to let it go wonder what it was that turned you this cold said you left me jaded and i wasnt joking miss the way it was a couple years ago back when we was young and now youve outgrown me hard to just accept i was a steppin stone way that people talk about you i shouldve known youre going to need me and i know you should slide through and get your back broke funny thing is that youre going to need me and i know you should slide through and get your back broke,65099.99999999999,0,0,2,2,548,2599.0,0.087,0.797,0.115,0.011158137745286649
9,dark lane demo tapes,2020.0,deep pockets ,https://genius.com/drake-deep-pockets-lyrics, for my nigga hush yeah look   dressed in fatigues i rep the east with my trustees smokin on crushed leaves they turn they back on everything we built then they must bleed ive seen splatter hit the snow when the blood freeze straps over territory they know we must keep get home and white air forces get brushed clean back when my mama would interrupt sleep to tell me hurry up cause the bus leaves summertime heatwaves i used to just cut sleeves my shorty really love me man she want me to cut keys i cant do that normal type of life is it just me niggas steady try to ride the wave but its rough seas im losin enough sleep dealin with envy and the news that they sent for me got the block in a frenzy its on meech like its trendy runnin round from laurier to mackenzie when the citys empty yeah early twenties but i want fifties hundreds not pennies i need plenty got me ready to flip the f out like fendi whatevers in me its takin over i gotta bust it down break it open until somebody starts takin notice then we rollin   yeah then we rollin then we rollin deep pockets on a nigga i cant find my phone in now we rollin yeah then we rollin then we rollin deep pockets on a nigga i cant find my phone in now we rollin   look back when big apple sold dreams i stuck to my own thing back when the house that i own now was my home screen before id ever hit the road and feel like the home team runnin missions pyramid schemes just like the egyptians back when hotlines were still flippin now im seein money off of hotlines blingin but it feels different transitions plans switchin ambition mindin my business buildin a business et cetera inspired by a few but my mind really drives itself like tesla i always had a little somethin extra back when corey was our sole investor and the car could get from a to b but wont impress ya look i aint no baller still need my accounts longer like the way my nephews gettin taller my soundtrack is the second carter dreamin of acceptin offers and easin tensions keepin family out of east detention and out of pine hill funeral center spots we got no business enterin back when jill scott was the apple of my afrocentric eye i had to find a way to get someones attention   then we rollin then we rollin deep pockets on a nigga i cant find my phone in now we rollin yeah then we rollin then we rollin deep pockets on a nigga i cant find my phone in now we rollin,202200.0,0,0,2,2,472,2397.0,0.116,0.809,0.075,0.011264080100125156
